Opponent,opp_adj
BKN,0.046351465896901256
BOS,-0.08385006429094294
CHA,0.028097623892990725
CHI,0.02278674982396431
CLE,-0.014699937921500587
DAL,-0.011862992459914403
DEN,0.004722614358815159
DET,0.006119743894760345
GSW,0.02554343657227168
HOU,0.045862262299006
IND,-0.043128868011315984
LAC,-0.044828239732803345
LAL,-0.032634479959082696
MEM,0.04421615211045065
MIA,-0.027753887483389368
MIL,-0.03820428992901173
MIN,-0.022022343498015778
NOP,0.002119948259561726
NYK,0.008420480117244555
OKC,0.008439505480530124
ORL,-0.009734551383226119
PHI,0.021529732600736824
PHX,-0.0418897716485066
POR,0.025442747139312213
SAC,-0.028861978140417317
SAS,-0.011110202927912273
TOR,0.06112637888419783
UTA,0.07077139958709341
WAS,0.017967689162954867
